Summary Statement of Account Limits for Accounts under Domestic Fund Pool of a Bank,,,,,,,,,,,
,,,,,,,,,,,
"[27,0]","[27,1]",,"[27,3]","[27,4]","[27,5]",,"[27,7]","[27,8]",,,"[27,11]"
,"[28,1]",,"[28,3]","[28,4]","[28,5]",,"[28,7]","[28,8]",,,
"[29,0]","[29,1]",,"[29,3]","[29,4]","[29,5]",,"[29,7]","[29,8]",,,"[29,11]"
,"[30,1]",,"[30,3]","[30,4]","[30,5]",,"[30,7]","[30,8]",,,
"[31,0]","[31,1]",,"[31,3]","[31,4]","[31,5]",,"[31,7]","[31,8]",,,"[31,11]"
,"[32,1]",,"[32,3]","[32,4]","[32,5]",,"[32,7]","[32,8]",,,
"[33,0]","[33,1]",,"[33,3]","[33,4]","[33,5]",,"[33,7]","[33,8]",,,"[33,11]"
,"[34,1]",,"[34,3]","[34,4]","[34,5]",,"[34,7]","[34,8]",,,
"[35,0]","[35,1]",,"[35,3]","[35,4]","[35,5]",,"[35,7]","[35,8]",,,"[35,11]"
,"[36,1]",,"[36,3]","[36,4]","[36,5]",,"[36,7]","[36,8]",,,
"[37,0]","[37,1]",,"[37,3]","[37,4]","[37,5]",,"[37,7]","[37,8]",,,"[37,11]"
,"[38,1]",,"[38,3]","[38,4]","[38,5]",,"[38,7]","[38,8]",,,
"[39,0]","[39,1]",,"[39,3]","[39,4]","[39,5]",,"[39,7]","[39,8]",,,"[39,11]"
,"[40,1]",,"[40,3]","[40,4]","[40,5]",,"[40,7]","[40,8]",,,
"[41,0]","[41,1]",,"[41,3]","[41,4]","[41,5]",,"[41,7]","[41,8]",,,"[41,11]"
,"[42,1]",,"[42,3]","[42,4]","[42,5]",,"[42,7]","[42,8]",,,
"[43,0]","[43,1]",,"[43,3]","[43,4]","[43,5]",,"[43,7]","[43,8]",,,"[43,11]"
,"[44,1]",,"[44,3]","[44,4]","[44,5]",,"[44,7]","[44,8]",,,
"[45,0]","[45,1]",,"[45,3]","[45,4]","[45,5]",,"[45,7]","[45,8]",,,"[45,11]"
,"[46,1]",,"[46,3]","[46,4]","[46,5]",,"[46,7]","[46,8]",,,
"[47,0]","[47,1]",,"[47,3]","[47,4]","[47,5]",,"[47,7]","[47,8]",,,"[47,11]"
,"[48,1]",,"[48,3]","[48,4]","[48,5]",,"[48,7]","[48,8]",,,
"[49,0]","[49,1]",,"[49,3]","[49,4]","[49,5]",,"[49,7]","[49,8]",,,"[49,11]"
,"[50,1]",,"[50,3]","[50,4]","[50,5]",,"[50,7]","[50,8]",,,
"[51,0]","[51,1]",,"[51,3]","[51,4]","[51,5]",,"[51,7]","[51,8]",,,"[51,11]"
,"[52,1]",,"[52,3]","[52,4]","[52,5]",,"[52,7]","[52,8]",,,
"[53,0]","[53,1]",,"[53,3]","[53,4]","[53,5]",,"[53,7]","[53,8]",,,"[53,11]"
,"[54,1]",,"[54,3]","[54,4]","[54,5]",,"[54,7]","[54,8]",,,
"[55,0]","[55,1]",,"[55,3]","[55,4]","[55,5]",,"[55,7]","[55,8]",,,"[55,11]"
,"[56,1]",,"[56,3]","[56,4]","[56,5]",,"[56,7]","[56,8]",,,
